,event_id,user_id,user_code,plan_date,close_date,customer_id,region_name,region_code,deal_id,description,close_comment
6116,43874.0,27.0,,2021-02-26,2021-02-26,5075.0,Тамбовская область,68.0,4757.0,Обсудить потребность в тракторе,"Клиент оплатил 10%, остальные в лизинг."
6117,43873.0,27.0,,2021-02-25,2021-02-25,5075.0,Тамбовская область,68.0,4757.0,Приобретение трактора 150 л.с. Обсуждение деталей,"Ездили с клиентом в Воронеж, смотрели тел.погрузчик Кейс 130-45. Клиента погрузчик устроил. Сказал делать договор."
6118,43872.0,22.0,,2021-03-05,2021-03-09,3743.0,Липецкая область,48.0,4955.0,Обсуждение предложения по сеялкам,"В процессе разговора клиент озвучил, что, на данный момент, закупать технику не планирует, но на конец года планирует приобретать 2 трактора, пропашную сеялку и роторный комбайн."
6119,43871.0,22.0,,2021-03-04,2021-03-09,916.0,Липецкая область,48.0,4755.0,Выявление потребности в технике,В конце этого года будут рассматривать приобретение посевного комплекса. Решение будет приниматься после формирования бюджета.
6120,43870.0,1.0,,2021-03-05,2021-03-05,3930.0,Рязанская область,62.0,,Выявление потребности в технике,Встретился сказал будут обсуждать  со специалистами.
6121,43869.0,1.0,,2021-03-01,2021-03-03,,,0.0,,Акция по продвижению оборудования. Обсуждение с клиентом,Обучение пройдено!
6122,43868.0,1.0,,2021-03-01,2021-03-01,3836.0,Рязанская область,62.0,4314.0,Планирование демопоказа Трактор и посевной комплекс,Сказал что планирует покупку.
6123,43867.0,22.0,,2021-03-04,2021-03-09,4944.0,Липецкая область,48.0,4961.0,Обсуждение предложения по сеялкам,"В перспективе планируют приобретение трактора мощностью 310 л.с. В разговоре с директором выяснилось, что учредитель дал непосредственное указание работать по технике с компанией ООО Технодом."
6124,43866.0,1.0,,2021-03-01,2021-03-01,3803.0,Рязанская область,62.0,4710.0,Планирование демопоказа Трактор и посевной комплекс,Встретился с директором подписал договор.
6125,43865.0,1.0,,2021-03-01,2021-03-01,3821.0,Рязанская область,62.0,4709.0,Выявление потребности в технике,Встретился с  директором подписал договор.
6126,43864.0,11.0,,2021-02-26,2021-02-26,4640.0,Вологодская область,35.0,4754.0,Почвообработка. Переговоры с генеральным и главным инженером,"Переговоры по трактору, запросил расчёт по лизингу. Договорились о дальнейшей встрече, пока будет изучать рынок."
6127,43863.0,27.0,,2021-02-25,2021-02-25,956.0,Липецкая область,48.0,,Выявление потребности в технике,Встреча с клиентом проговорили по новым нашим продуктам анализатор зерна и установки для автоматической дозации СЗР. Сказал что дозация СЗР купили.
6128,43862.0,22.0,,2021-03-04,2021-03-09,1331.0,Липецкая область,48.0,4960.0,Обсуждение предложения по сеялкам,"Клиент приобрёл самоходный опрыскиватель (6 кубов), сеялку (12 м) марки Horsch и телескопический погрузчик JCB. В этом году планирует приобретение ещё одного самоходного опрыскивателя Horsch (6 кубов)."
6129,43861.0,27.0,,2021-02-24,2021-02-24,9.0,Липецкая область,48.0,4475.0,Планирование демопоказа Трактор и посевной комплекс,"Встреча с клиентом, по договору согласование."
6130,43860.0,27.0,,2021-02-12,2021-02-12,4706.0,Липецкая область,48.0,,Обсуждение предложения по сеялкам,Встреча с клиентом и приглашение на презентацию  трактора Стайгер 470. Также проговорили по новым нашим продуктам анализатор зерна и установки для автоматической дозации СЗР. Презентация трактора была в ремзоне.
6131,43859.0,2.0,,2021-02-25,2020-02-25,583.0,Тамбовская область,68.0,4535.0,Обсудить потребность в тракторе,25.02.2020 В планах ничего нет. По РУКАС вопрос пока не изучал и на этот сезон не хочет забивать себе голову. Можно попробовать вернуться к вопросу по осени.
6132,43858.0,27.0,,2021-02-12,2021-02-12,78.0,Липецкая область,48.0,4474.0,Потребность в посевном оборудовании. Обсуждение.,Встреча с клиентом и приглашение на презентацию  трактора Стайгер 470. Также проговорили по новым нашим продуктам анализатор зерна и установки для автоматической дозации СЗР. Презентация трактора была в ремзоне.
6133,43857.0,2.0,,2021-02-25,2020-02-25,4934.0,Тамбовская область,68.0,4573.0,Обсуждение условий сделки,25.02.2020 Обсудили спецификацию по овощной сеялке. Для принятия решения по отклонениям потребуется согласование с агрономами. Так же требуется дискатор 8 м. Договорились держать связь после 8го марта.
6134,43856.0,11.0,,2021-02-19,2021-02-19,4640.0,Вологодская область,35.0,4754.0,Выявление потребности в технике,Выявление потребности. Есть интерес к трактору за 200 л.с. сделал предложение.
6135,43855.0,27.0,,2021-02-16,2021-02-16,4801.0,Липецкая область,48.0,,Приобретение трактора 150 л.с. Обсуждение деталей,Пригласил клиентов на презентацию нового трактора Кейс 470.
6136,43854.0,27.0,,2021-02-19,2021-02-19,141.0,Липецкая область,48.0,3117.0,Планирование демопоказа Трактор и посевной комплекс,Встреча с клиентом у нас на базе по презентации трактора Стайгер 470. Также проговрили по новым нашим продуктам анализатор зерна и установки для автоматической дозации СЗР. Презентация трактора была в ремзоне.
6137,43852.0,27.0,,2021-02-19,2021-02-19,4801.0,Липецкая область,48.0,,Выяснить потребность в технике,Встреча с клиентом у нас на базе по презентации трактора Стайгер 470. Также проговорили по новым нашим продуктам анализатор зерна и установки для автоматической дозации СЗР. Презентация трактора была в ремзоне.
6138,43851.0,6.0,,2021-03-04,2021-03-04,3771.0,Липецкая область,48.0,3680.0,Приобретение трактора 150 л.с. Обсуждение деталей,"На данный момент сказал, что скорее всего к покупке нового погрузчика вернется после уборки зерна. На сегодняшний день свой погрузчик восстановил и пока поработает ."
6139,43850.0,27.0,,2021-02-19,2021-02-19,50.0,Липецкая область,48.0,4713.0,Потребность в посевном оборудовании. Обсуждение.,Встреча с клиентом у нас на базе по презентации трактора Стайгер 470. Также проговорили по новым нашим продуктам анализатор зерна и установки для автоматической дозации СЗР. Презентация трактора была в ремзоне.
6140,43849.0,27.0,,2021-02-18,2021-02-18,68.0,Липецкая область,48.0,4691.0,Обсуждение предложения по сеялкам,"Клиент сказал, что Технодом предлагает ДД 6135 за 4,6 млн. рублей."
6141,43848.0,2.0,,2021-02-11,2021-02-11,4092.0,Тамбовская область,68.0,4912.0,Приобретение трактора 150 л.с. Обсуждение деталей,"11.02.2021 Клиент планирует приобретение зерновой сеялки. Планирует работать в системе традиционной, минимальной и нулевой обработки почвы. В конкурентах Horsch Pronto NT(цена около 14 млн. руб.), JD 1890+1910 (цена около 16,2 млн. руб., но есть льготный лизинг под 2% на 3 года). Провел презентацию, на первый взгляд клиент остался под впечатлением. Пока взял паузу для принятия решения."
6142,43847.0,27.0,,2021-02-16,2021-02-16,9.0,Липецкая область,48.0,4475.0,Почвообработка. Переговоры с генеральным и главным инженером,Обсуждали с клиентом стоимость и условия поставки тракторов.
6143,43846.0,23.0,,2021-01-14,2021-01-14,610.0,Рязанская область,62.0,,Встреча по трактору,"Осмотр трактора Челенджер 665С с клиентом. Трактор выдал несколько ошибок, клиент принял решение по временить, до устранения неполадок."
6144,43845.0,22.0,,2021-03-04,2021-03-09,909.0,Липецкая область,48.0,4753.0,Обсуждение предложения по сеялкам,"Клиент рассматривает приобретение трактора NH 7040 в лизинг, путём сдачи своего трактора Беларус-2022.3 по программе Trade-In.  Помимо суммы, которую он получит за сдачу своего трактора, дополнительно доплачивать не готов."
6145,43844.0,27.0,,2021-02-17,2021-02-17,50.0,Липецкая область,48.0,4714.0,Выявление потребности в технике,"Пригласил клиента на 19 февраля, презентация трактора S470. Клиент рассматривает гусеничный трактор."
6146,43843.0,2.0,,2021-02-11,2021-02-11,5074.0,Тамбовская область,68.0,4743.0,Планирование демопоказа Трактор и посевной комплекс,"11.02.2021 Заинтересовались приобретением междурядного культиватора Bednar. Договорились, что сброшу фото текущего состояния. После этого созвон и принятие решения."
6147,43842.0,6.0,,2021-03-05,2021-03-05,118.0,Липецкая область,48.0,4069.0,Почвообработка. Переговоры с генеральным и главным инженером,Оплатили за комбайн ДД 760 . В стоимость не включен повышенный утиль.
6148,43841.0,6.0,,2021-03-05,2021-03-05,17.0,Липецкая область,48.0,4578.0,Приобретение трактора 150 л.с. Обсуждение деталей,На данный момент не определился с покупкой опрыскивателя. Сказал что возможно и не будут покупать. По комбайну вопрос будут поднимать после уборки урожая.
6149,43840.0,2.0,,2021-02-10,2021-02-10,2179.0,Тамбовская область,68.0,3677.0,Акция по продвижению оборудования. Обсуждение с клиентом,"10.02.2021 Пока планов никаких нет. По пропашной сеялке вопрос отложен, На перспективу возможно будут рассматривать вопрос по приобретению дискатора, но это ближе к лету."
6150,43839.0,2.0,,2021-02-10,2021-02-10,4840.0,Тамбовская область,68.0,4021.0,Планирование демопоказа Трактор и посевной комплекс,"10.02.2021 Рассказал о линейке НАГРО. Клиент сообщил, что ранее прорабатывал вопрос о покупке подобного оборудования и пришел к выводу, что проще приобретать готовый КАС."
6151,43838.0,9.0,,2021-03-05,2021-03-05,5010.0,Воронежская область,36.0,4767.0,Обсуждение условий сделки,"Встреча по обсуждению проведения демо показа посевного комплекса Беднар Омега 600.Трактор Бюллер 350 л.с. Агрофон дискованый подсолнечник. Хочет сеять 100 га. Посевной комплекс интересен, но хочет пробовать без обязательств к покупке. Хочет чтобы мы привезли, откатали и забрали, а он будет принимать решение до осени, т.к. посевной нужен на сев озимых. Смотрел в сторону Амазон ДМС-9, но ценник очень большой для него. В хозяйстве  2шт СЗ 3,6 и СЗ 5,4 - 1 шт. Говорит если бы у нас была машина чисто под дэмо, он был бы спокоен, так как если по каким то причинам наш посевной ему не понравится, на него не подумали что он ""такой не хороший человек""(цитата) отсеялся и не купил, забэушил технику  и брать не стал. Не хочет портить отношения. Готов на повторную встречу с Пожидаевым Д.А. для обсуждения всех аспектов."
6152,43837.0,33.0,,2021-02-26,2021-02-26,4054.0,Тамбовская область,68.0,,Встреча по трактору,"Техникой укомплектованы, в парке отечественная техника, до импорта ещё не доросли по финансам"
6153,43836.0,33.0,,2021-02-26,2021-02-26,1271.0,Тамбовская область,68.0,,Выявление потребности в технике,"В парке импортной техники нет,  в настоящий момент в планах не стоит её приобретение"
